[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 18:48:24] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 18:48:25] {INFO} 	 aux objects loaded
[26.02.2026 18:48:25] {INFO} 	 aux texture loaded
[26.02.2026 18:50:48] {WARNING} 	 cannot find texture for zone, loading default
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 18:52:03] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 18:52:04] {INFO} 	 aux objects loaded
[26.02.2026 18:52:04] {INFO} 	 aux texture loaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 18:52:17] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 18:52:18] {INFO} 	 aux objects loaded
[26.02.2026 18:52:18] {INFO} 	 aux texture loaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 19:36:02] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 19:36:04] {INFO} 	 aux objects loaded
[26.02.2026 19:36:04] {INFO} 	 aux texture loaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 19:36:22] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 19:36:24] {INFO} 	 aux objects loaded
[26.02.2026 19:36:24] {INFO} 	 aux texture loaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 19:36:31] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 19:36:32] {INFO} 	 aux objects loaded
[26.02.2026 19:36:32] {INFO} 	 aux texture loaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 19:36:44] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 19:36:45] {INFO} 	 aux objects loaded
[26.02.2026 19:36:45] {INFO} 	 aux texture loaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 19:37:13] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 19:37:13] {INFO} 	 aux objects loaded
[26.02.2026 19:37:13] {INFO} 	 aux texture loaded
[26.02.2026 19:39:30] {INFO} 	 Start read terrain: D:/temp-workspace/ei/ei_maper/maps/bz4g.mpr
[26.02.2026 19:39:30] {INFO} 	 End read terrain
[26.02.2026 19:39:45] {INFO} 	 Landscape unloaded
[26.02.2026 19:40:15] {INFO} 	 Start read terrain: D:/temp-workspace/ei/ei_maper/maps/bz4g.mpr
[26.02.2026 19:40:15] {INFO} 	 End read terrain
[26.02.2026 19:40:23] {INFO} 	 Landscape unloaded
[26.02.2026 19:40:29] {INFO} 	 Start read terrain: D:/temp-workspace/ei/ei_maper/maps/bz7g.mpr
[26.02.2026 19:40:29] {INFO} 	 End read terrain
[26.02.2026 19:40:53] {INFO} 	 Landscape unloaded
[26.02.2026 19:40:57] {INFO} 	 Start read terrain: D:/temp-workspace/ei/ei_maper/maps/bz7g.mpr
[26.02.2026 19:40:57] {INFO} 	 End read terrain
[26.02.2026 19:42:16] {INFO} 	 Start read mob: D:/temp-workspace/ei/ei_maper/maps/bz7g-lmp.mob
[26.02.2026 19:42:16] {INFO} 	 End read mob
[26.02.2026 19:42:16] {INFO} 	 Start update 47 objects
[26.02.2026 19:42:16] {INFO} 	 End update objects
[26.02.2026 20:13:03] {INFO} 	 Start read mob: D:/temp-workspace/ei/ei_maper/maps/bz4g.mob
[26.02.2026 20:13:03] {INFO} 	 End read mob
[26.02.2026 20:13:03] {INFO} 	 Start update 207 objects
[26.02.2026 20:13:03] {INFO} 	 End update objects
[26.02.2026 20:13:16] {INFO} 	 unloading mob bz4g.mob
[26.02.2026 20:13:16] {INFO} 	 Mob unloaded
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 20:47:27] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 20:47:28] {INFO} 	 aux objects loaded
[26.02.2026 20:47:28] {INFO} 	 aux texture loaded
[26.02.2026 20:50:54] {INFO} 	 Start read terrain: D:/temp-workspace/ei/ei_maper/maps/zone31.mpr
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 57
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 180
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 181
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 392
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 393
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 406
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 432
[26.02.2026 20:50:54] {WARNING} 	 incorrect tile type at index: 433
[26.02.2026 20:50:54] {INFO} 	 End read terrain
[26.02.2026 20:51:25] {INFO} 	 Start read mob: D:/temp-workspace/ei/ei_maper/maps/zone31.mob
[26.02.2026 20:51:26] {INFO} 	 End read mob
[26.02.2026 20:51:26] {INFO} 	 Start update 3803 objects
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 20:51:54] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 20:51:55] {INFO} 	 aux objects loaded
[26.02.2026 20:51:55] {INFO} 	 aux texture loaded
[26.02.2026 20:52:03] {INFO} 	 Start read terrain: D:/temp-workspace/ei/ei_maper/maps/zone31.mpr
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 57
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 180
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 181
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 392
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 393
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 406
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 432
[26.02.2026 20:52:03] {WARNING} 	 incorrect tile type at index: 433
[26.02.2026 20:52:03] {INFO} 	 End read terrain
[26.02.2026 20:52:12] {INFO} 	 Start read mob: D:/temp-workspace/ei/ei_maper/maps/zone31.mob
[26.02.2026 20:52:13] {INFO} 	 End read mob
[26.02.2026 20:52:13] {INFO} 	 Start update 3803 objects
[   DATE	  TIME  ] {TYPE} 	 MESSAGE
[26.02.2026 20:52:34] {INFO} 	 icon folder found::Z:/home/kyral/temp-workspace/ei/ei_maper/icons_fluent
[26.02.2026 20:52:35] {INFO} 	 aux objects loaded
[26.02.2026 20:52:35] {INFO} 	 aux texture loaded
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 57
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 180
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 181
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 392
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 393
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 406
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 432
[26.02.2026 20:53:33] {WARNING} 	 incorrect tile type at index: 433
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:34. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:35. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1010850. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:PeasantA, Id:1010858. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1031761. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1031801. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1045894. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1045951. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1052604. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1066945. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1067014. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1073590. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1073596. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1094445. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:1115382. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:1115434. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394643. Logic count: 1
[26.02.2026 20:54:26] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Mid Level Male-34, Id:2394644. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Low Level Female-25, Id:44397024. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397025. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397026. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Human Kania Workers Male-26, Id:44397027. Logic count: 1
[26.02.2026 20:54:27] {WARNING} 	 Logic has incorrect data. Unit name:Peasant, Id:44397028. Logic count: 1
